66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:19:06+00:00|"http://www.espacioperinatal.com/parto-enfrentando-un-nacimiento-prematuro/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:19:09+00:00|"http://www.espacioperinatal.com/parto-enfrentando-un-nacimiento-prematuro/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:19:12+00:00|"http://www.espacioperinatal.com/parto-enfrentando-un-nacimiento-prematuro/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:19:16+00:00|"http://www.espacioperinatal.com/parto-enfrentando-un-nacimiento-prematuro/"
66.249.64.213|GET /el-ciclo-vital-y-las-crisis-evolutivas/ HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|GET|/el-ciclo-vital-y-las-crisis-evolutivas/|200|2017-12-10T21:25:37+00:00|"-"
66.249.64.215|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:26:13+00:00|"http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:26:15+00:00|"http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/"
66.249.64.213|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:26:17+00:00|"http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:26:19+00:00|"http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:26:21+00:00|"http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:26:25+00:00|"http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:26:26+00:00|"http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:26:33+00:00|"http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/"
185.22.173.228|GET / HTTP/1.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30|Chrome|GET|/|301|2017-12-10T21:27:25+00:00|"-"
66.249.64.213|GET /psicologia-perinatal-blog-espacio-perinatal/ HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|GET|/psicologia-perinatal-blog-espacio-perinatal/|200|2017-12-10T21:38:16+00:00|"-"
157.55.39.79|GET /wp-content/plugins/monarch/css/style.css HTTP/1.1|Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)|bingbot|GET|/wp-content/plugins/monarch/css/style.css|200|2017-12-10T21:39:49+00:00|"-"
185.22.173.228|GET / HTTP/1.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/4.0.5 Safari/531.22.7|Safari|GET|/|301|2017-12-10T21:41:55+00:00|"-"
185.22.173.228|GET / HTTP/1.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/4.0.5 Safari/531.22.7|Safari|GET|/|200|2017-12-10T21:41:58+00:00|"-"
185.22.173.228|POST /wp-admin/admin-post.php?action=mailpoet_subscription_form HTTP/1.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/4.0.5 Safari/531.22.7|Safari|POST|/wp-admin/admin-post.php?action=mailpoet_subscription_form|302|2017-12-10T21:42:00+00:00|"http://www.espacioperinatal.com/"
185.22.173.228|GET /?mailpoet_error=1 HTTP/1.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/4.0.5 Safari/531.22.7|Safari|GET|/?mailpoet_error=1|200|2017-12-10T21:42:01+00:00|"http://www.espacioperinatal.com/"
190.244.104.141|GET /?s=etapas+del+duelo HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/?s=etapas+del+duelo|200|2017-12-10T21:45:26+00:00|"http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/"
190.244.104.141|GET /el-proceso-de-duelo-y-caracteristicas/ HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/el-proceso-de-duelo-y-caracteristicas/|200|2017-12-10T21:45:32+00:00|"http://www.espacioperinatal.com/?s=etapas+del+duelo"
190.244.104.141|GET /wp-content/themes/Extra/images/post-format-thumb-text.svg HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-content/themes/Extra/images/post-format-thumb-text.svg|200|2017-12-10T21:45:35+00:00|"http://www.espacioperinatal.com/el-proceso-de-duelo-y-caracteristicas/"
